"X","user_name","raw_timestamp_part_1","raw_timestamp_part_2","cvtd_timestamp","new_window","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
1,2,1323084231,788290,9,1,11,1.41,8.07,-94.4,3,0,0,-0.02,-21,4,22,-3,599,-313,-128,22.5,-161,34,0,0,-0.02,-288,109,-123,-368,337,516,13.05217456,-70.49400371,-84.87393888,37,0,-0.02,0,-234,47,-271,-559,293,-65,28.4,-63.9,-153,36,0.03,0,-0.02,192,203,-215,-17,654,476,"A"
2,2,1323084231,808298,9,1,11,1.41,8.07,-94.4,3,0.02,0,-0.02,-22,4,22,-7,608,-311,-128,22.5,-161,34,0.02,-0.02,-0.02,-290,110,-125,-369,337,513,13.13073959,-70.63750507,-84.71064711,37,0,-0.02,0,-233,47,-269,-555,296,-64,28.3,-63.9,-153,36,0.02,0,-0.02,192,203,-216,-18,661,473,"A"
3,2,1323084231,820366,9,1,11,1.42,8.07,-94.4,3,0,0,-0.02,-20,5,23,-2,600,-305,-128,22.5,-161,34,0.02,-0.02,-0.02,-289,110,-126,-368,344,513,12.85074981,-70.27811982,-85.14078134,37,0,-0.02,0,-232,46,-270,-561,298,-63,28.3,-63.9,-152,36,0.03,-0.02,0,196,204,-213,-18,658,469,"A"
4,2,1323084232,120339,9,1,12,1.48,8.05,-94.4,3,0.02,0,-0.03,-22,3,21,-6,604,-310,-128,22.1,-161,34,0.02,-0.03,0.02,-289,111,-123,-372,344,512,13.43119971,-70.39379464,-84.87362553,37,0,-0.02,-0.02,-232,48,-269,-552,303,-60,28.1,-63.9,-152,36,0.02,-0.02,0,189,206,-214,-16,658,469,"A"
5,2,1323084232,196328,9,1,12,1.48,8.07,-94.4,3,0.02,0.02,-0.02,-21,2,24,-6,600,-302,-128,22.1,-161,34,0,-0.03,0,-289,111,-123,-374,337,506,13.37871611,-70.42855971,-84.85305745,37,0,-0.02,0,-233,48,-270,-554,292,-68,28,-63.9,-152,36,0.02,0,-0.02,189,206,-214,-17,655,473,"A"
6,2,1323084232,304277,9,1,12,1.45,8.06,-94.4,3,0.02,0,-0.02,-21,4,21,0,603,-312,-128,22,-161,34,0.02,-0.03,0,-289,111,-122,-369,342,513,13.38245941,-70.81758832,-84.46500278,37,0,-0.02,0,-234,48,-269,-558,294,-66,27.9,-63.9,-152,36,0.02,-0.02,-0.03,193,203,-215,-9,660,478,"A"
7,2,1323084232,368296,9,1,12,1.42,8.09,-94.4,3,0.02,0,-0.02,-22,3,21,-4,599,-311,-128,21.9,-161,34,0,-0.03,0,-289,111,-125,-373,336,509,13.12694911,-70.24756905,-85.09961258,37,0,-0.02,0,-232,47,-270,-551,295,-70,27.9,-63.9,-152,36,0.02,0,-0.02,195,205,-215,-18,659,470,"A"
8,2,1323084232,440390,9,1,12,1.42,8.13,-94.4,3,0.02,0,-0.02,-22,4,21,-2,603,-313,-128,21.8,-161,34,0.02,-0.02,0,-289,111,-124,-372,338,510,12.75083041,-70.34768359,-85.09708174,37,0,-0.02,0,-234,46,-272,-555,300,-74,27.8,-63.8,-152,36,0.02,-0.02,0,193,205,-213,-9,660,474,"A"
9,2,1323084232,484323,9,1,12,1.43,8.16,-94.4,3,0.02,0,-0.02,-20,2,24,1,602,-312,-128,21.7,-161,34,0.02,-0.03,-0.02,-288,109,-122,-369,341,518,13.15463353,-70.42520377,-84.91563379,37,0,-0.02,0,-232,47,-269,-549,292,-65,27.7,-63.8,-152,36,0.03,0,-0.02,193,204,-214,-16,653,476,"A"
10,2,1323084232,484434,9,1,12,1.45,8.17,-94.4,3,0.03,0,0,-21,4,22,-3,609,-308,-128,21.6,-161,34,0.02,-0.03,-0.02,-288,110,-124,-376,334,516,13.33033728,-70.85058796,-84.44601983,37,0,-0.02,0,-235,48,-270,-558,291,-69,27.7,-63.8,-152,36,0.02,0,-0.02,190,205,-215,-22,656,473,"A"
